number,name
"HPD-172, Japanese",WITHDRAWAL OF COMPLAINT AND RELEASE (JAPANESE)
"HPD-172, Korean",WITHDRAWAL OF COMPLAINT AND RELEASE (KOREAN)
"HPD-172, Laotian",WITHDRAWAL OF COMPLAINT AND RELEASE (LAOTIAN)
"HPD-172, Marshallese",WITHDRAWAL OF COMPLAINT AND RELEASE (MARSHALLESE)
"HPD-172, Samoan",WITHDRAWAL OF COMPLAINT AND RELEASE (SAMOAN)
"HPD-172, Spanish",WITHDRAWAL OF COMPLAINT AND RELEASE (SPANISH)
"HPD-172, Tagalog",WITHDRAWAL OF COMPLAINT AND RELEASE (TAGALOG)
"HPD-172, Tongan",WITHDRAWAL OF COMPLAINT AND RELEASE (TONGAN)
"HPD-172, Vietnamese",WITHDRAWAL OF COMPLAINT AND RELEASE (VIETNAMESE)
HPD-173,"CLOSING  REPORT, MOTOR VEHICLE COLLISION (CRS)"
HPD-173A,CONTINUATION
HPD-173B,"173 FILLED
  (WITH ASSIGNMENT, FOLLOW-UP, COMMENTS, DISP.)"
HPD-175,"VEHICLE
  EVIDENCE TAG"
HPD-176,"INTOXILYZER
  LOG"
HPD-176A,"DUI ARREST
  - BLOOD TEST LOG"
HPD-176B,"DUI ARREST
  - REFUSAL LOG"
HPD-177,"REIMBURSEMENT
  FOR SUBSIDIZED VEHICLE"
HPD-178,"REQUEST TO
  REVIEW POLICE REPORTS"
HPD-182,SPECIAL  POLICE COMMISSION - REQUEST
HPD-184,PAL  MEMBERSHIP APPLICATION
HPD-185,SECURITY-VISITOR LOG
HPD-187,HONOLULU POLICE DEPARTMENT GANG INFORMATION FORM
HPD-188,"CONSENSUAL
  MONITORING FORM"
HPD-189,PROPOSAL FOR UNIFORM AND EQUIPMENT COMMITTEE
HPD-190,CONFIDENTIAL COVER SHEET
HPD-191,JUVENILE ARREST REPORT (CRS)
HPD-191A,JUVENILE  ARREST INFORMATION SHEET - RCD. PRINTS (CRS)
HPD-192E,USE OF FORCE AND CONDUCTED ENERGY WEAPON REPORT (CRS)
HPD-197,MVC ACCIDENT  INFORMATION EXCHANGE
HPD-198,PATROL  ASSIGNMENT SHEET
HPD-198A,NON-PATROL  ASSIGNMENT SHEET
HPD-207,CRIME LAB WORK REQUEST AND FOLLOW-UP REPORT (CRS)
HPD-207A,ID SECTION WORK REQUEST AND RESULTS (CRS)
HPD-207B,CONTINUATION REPORT (CRS)
HPD-207C,PHOTO LAB  WORK REQUEST AND RESULTS (CRS)
HPD-207D,DNA WORK REQUEST
HPD-207E,ID SECTION CONFERRAL WORK REQUEST (CRS)
HPD-208,"HPD
  ENFORCEMENT SUMMARY REPORT"
HPD-213,"PARKS
  DETAIL ASSIGNMENTS"
HPD-214,GASOLINE ISSUANCE RECORD
HPD-219,AUTOMOBILE CHECK LIST
HPD-219A,"PAL VAN
  CHECK LIST"
HPD-219B,"VAN
  CHECKLIST (used to be SCOUT VEHICLE CHECK LIST)"
HPD-219C,"CAMARO
  CHECKLIST"
HPD-219D,"GO-4
  CHECKLIST"
HPD-219E,"ITD
  VEHICLE SIGN OUT SHEET"
HPD-219F,"MINI BUS
  CHECKLIST"
HPD-219G,SEDAN CHECK LIST
HPD-219H,SPORT UTILITY VEHICLE CHECK LIST
HPD-219I,TRUCK CHECK LIST
HPD-222,ATTEMPT TO SERVE LEGAL INSTRUMENT
HPD-222A,JUSTIFICATION OF NON-SERVICE
HPD-222B,ABUSE/TRO  VIOLATION ARREST ATTEMPT
HPD-223,JUVENILE  APPOINTMENT CARD
HPD-228,BOOKING  INFORMATION (CRS)
HPD-230,EVIDENCE OR FOUND PROPERTY - AUTHORIZATION TO RELEASE (CRS)
HPD-233,PARENTAL CONSENT FOR MINORS TO PARTICIPATE
HPD-233B,INSTRUCTIONS FOR PARTICIPANTS
HPD-243,WEEKLY SUMMARY REPORT TO TRAFFIC DIVISION
HPD-243A,TRAFFIC  SAFETY AWARENESS CONTACT
HPD-243B,TRAFFIC  SAFETY AWARENESS CARD - DISTRICT 3
HPD-243D,DAILY MVC PEDESTRIAN INJURY REPORT LOG
HPD-244,EMPLOYEE CONDITIONS
HPD-247,TRANSIT OF  PERSON HELD IN POLICE CUSTODY - LOG (CRS)
HPD-250,"DEATH
  REPORT"
HPD-251,FOLLOW-UP  CALLING CARD
HPD-251A,TAIS  CONTACT CARD
HPD-252,STATEMENT FORM (CRS)
HPD-252 without Lines,STATEMENT FORM WITHOUT LINES (CRS)
"HPD-252, Chinese",STATEMENT FORM (CHINESE)
"HPD-252, Chuukese",STATEMENT FORM (CHUUKESE)
"HPD-252, Ilokano",STATEMENT FORM (ILOKANO)
"HPD-252, Japanese",STATEMENT FORM (JAPANESE)
"HPD-252, Korean",STATEMENT FORM (KOREAN)
"HPD-252, Laotian",STATEMENT FORM (LAOTIAN)
"HPD-252, Marshallese",STATEMENT FORM (MARSHALLESE)
"HPD-252, Samoan",STATEMENT FORM (SAMOAN)
"HPD-252, Spanish",STATEMENT FORM (SPANISH)
"HPD-252, Tagalog",STATEMENT FORM (TAGALOG)
"HPD-252, Tongan",STATEMENT FORM (TONGAN)
"HPD-252, Vietnamese",STATEMENT FORM (VIETNAMESE)
HPD-252A,STATEMENT FORM CONTINUATION PAGE (CRS)
"HPD-252A, Chinese",STATEMENT FORM CONTINUATION PAGE (CHINESE)
"HPD-252A, Chuukese",STATEMENT FORM CONTINUATION PAGE (CHUUKESE)
"HPD-252A, Ilokano",STATEMENT FORM CONTINUATION PAGE (ILOKANO)
"HPD-252A, Japanese",STATEMENT FORM CONTINUATION PAGE (JAPANESE)
"HPD-252A, Korean",STATEMENT FORM CONTINUATION PAGE (KOREAN)
"HPD-252A, Laotian",STATEMENT FORM CONTIUATION PAGE (LAOTIAN)
"HPD-252A, Marshallese",STATEMENT FORM CONTINUATION PAGE (MARSHALLESE)
"HPD-252A, Samoan",STATEMENT FORM CONTINUATION PAGE (SAMOAN)
"HPD-252A, Spanish",STATEMENT FORM CONTINUATION PAGE (SPANISH)
"HPD-252A, Tagalog",STATEMENT FORM CONTINUATION PAGE (TAGALOG)
"HPD-252A, Tongan",STATEMENT FORM CONTINUATION PAGE (TONGAN)
"HPD-252A, Vietnamese",STATEMENT FORM CONTINUATION PAGE (VIETNAMESE)
HPD-252B,CRITICAL INCIDENT PUBLIC SAFETY STATEMENT
HPD-252JPN,HONOLULU POLICE DEPARTMENT STATEMENT FORM (JAPANESE)
HPD-262,"NOTICE OF
  NON-DISCIPLINARY ACTION"
HPD-271,CID TRACKING CARD:CLOSED CASES REFERRED TO PROSECUTOR FOR DISPOSITION
HPD-271A,TRAFFIC DIVISION TRACKING CARD:  CLOSED CASES REFERRED TO PROSECUTOR FOR DISPOSITION
HPD-276,"JUVENILE
  RUNAWAY REPORT"
HPD-276C,MAILE  AMBER ALERT MESSAGE
HPD-279,ABUSE OF FAMILY/HOUSEHOLD MEMBERS WARNING CITATION
HPD-280,SPECIAL ACCOUNT SUMMARY
HPD-280A,"EXPENDITURES
  FROM SPECIAL ACCOUNT"
HPD-283,DIGITAL  IMAGE FILE ENVELOPE
HPD-284,WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (CRS)
"HPD-284, Chinese",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (CHINESE)
"HPD-284, Chuukese",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (CHUUKESE)
"HPD-284, Ilokano",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (ILOKANO)
"HPD-284, Japanese",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (JAPANESE)
"HPD-284, Korean",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (KOREAN)
"HPD-284, Laotian",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (LAOTIAN)
"HPD-284, Marshallese",WARNING PERSON TO BE VIEWED IN LINEUP OF RIGHT TO HAVE AN ATTORNEY PRESENT (MARSHALLESE)
